Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
6329,"5c6c3c452e8a8d1486ec8711, 'New', 'New', 'New'",0.8800150156021118,f4ad73cb-8e14-48ed-a972-51796666618d,75,304,307,536,undefined,,,
6330,5c6c3abd2e8a8d1486ec8462,0.1389770358800888,0,3,0.7984004020690918,69fec65f-b9a4-4c04-b1da-ebb413f1397d,192,384,318,510,undefined
6331,5c6c3a982e8a8d1486ec844a,0.1855277717113495,0,1,1.0076909065246582,bf5c9ce8-4822-45e2-b7de-84ae787de4a9,163,322,257,416,undefined
6332,"5c6c38072e8a8d1486ec8063, 'New', 'New', 'New'",1.0373854637145996,1742d690-7d09-4b22-9905-96ccc8fbf224,231,422,318,510,undefined,,,
6333,"5c6c37db2e8a8d1486ec8059, 'New', 'New', 'New'",1.0651167631149292,10ff3600-86b3-41ef-b0c4-27635ee0f3a3,209,342,375,508,undefined,,,
6334,5c6c35f02e8a8d1486ec7d4d,0.14855003356933594,0,2,0.9626330137252808,93614e3b-5845-46c3-8bf8-056a77dd216c,317,428,344,454,undefined
6335,5c6c31bf2e8a8d1486ec73db,0.15595197677612305,0,3,1.0397025346755981,7a761064-2b9b-40b7-93bf-9750cd76a3ca,168,397,330,559,undefined
6336,"5c6c31a22e8a8d1486ec734e, 'New', 'New', 'New'",1.0897799730300903,d5a8c382-fdb1-44e2-a8c4-435120cdc28c,178,338,354,513,undefined,,,
6337,5c6c315e2e8a8d1486ec7314,0.17518609762191772,0,1,1.0255916118621826,d5a8c382-fdb1-44e2-a8c4-435120cdc28c,163,322,402,561,undefined
6338,"5c6c25132e8a8d1486ec5efc, 'New', 'New', 'New'",1.0063928365707397,322c7f54-99ba-433d-93ca-6362d8267a86,239,349,75,185,undefined,,,
6339,5c6c23e82e8a8d1486ec5d34,0.1541023552417755,0,1,0.9269498586654663,f9351ae1-7788-48ee-8918-3ec3655ecaf8,178,338,305,465,undefined
6340,"5c6c210a2e8a8d1486ec584d, 'New', 'New', 'New'",1.0843394994735718,d56977b9-dd7d-4162-9385-8e435a73950e,182,293,198,308,undefined,,,
6341,"5c6c1ce72e8a8d1486ec518a, 'New', 'New', 'New'",0.28771865367889404,cfb112a4-02d0-4483-a2f3-f994ef5c3224,289,480,357,548,undefined,,,
